Recoded detailed race code,Total,Total Recode for Recoded detailed Hispanic origin (HISP_RC4),Hispanic,Non Hispanic
Total,"19,794,033","2,908,852","968,479","1,940,373"
,"5,696,084","640,096","234,913","405,183"
White alone,"2,141,045","323,520","61,482","262,038"
Black or African American alone,"782,218","76,694","2,138","74,556"
American Indian alone,"39,955","3,794","3,373",421
Alaska Native alone,225,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","13,281",866,766,100
Asian alone,"201,538","35,987","1,189","34,798"
Native Hawaiian and Other Pacific Islander alone,"6,772","1,090",266,824
Some other race alone,"710,093","43,027","39,569","3,458"
Two or More Races,"1,800,957","155,118","126,130","28,988"
,"5,445,503","752,835","278,490","474,345"
White alone,"2,248,599","364,729","61,869","302,860"
Black or African American alone,"765,262","100,431","3,586","96,845"
American Indian alone,"45,841","5,216","4,015","1,201"
Alaska Native alone,435,296,0,296
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","15,617","3,222","3,179",43
Asian alone,"244,497","44,616","1,187","43,429"
Native Hawaiian and Other Pacific Islander alone,"13,351",909,102,807
Some other race alone,"683,393","62,682","59,915","2,767"
Two or More Races,"1,428,508","170,734","144,637","26,097"
,"4,348,508","776,820","273,064","503,756"
White alone,"1,720,884","380,983","60,140","320,843"
Black or African American alone,"598,506","109,092","1,367","107,725"
American Indian alone,"38,085","5,839","4,991",848
Alaska Native alone,578,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","10,269","1,678","1,464",214
Asian alone,"233,482","48,013",450,"47,563"
Native Hawaiian and Other Pacific Islander alone,"8,964","1,294",0,"1,294"
Some other race alone,"559,831","64,116","58,619","5,497"
Two or More Races,"1,177,909","165,805","146,033","19,772"
,"3,117,182","548,882","147,949","400,933"
White alone,"1,583,150","328,432","30,405","298,027"
Black or African American alone,"385,426","62,514",123,"62,391"
American Indian alone,"19,874","3,138","2,623",515
Alaska Native alone,233,14,0,14
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","5,636",656,548,108
Asian alone,"147,672","25,475",171,"25,304"
Native Hawaiian and Other Pacific Islander alone,"3,101",641,0,641
Some other race alone,"323,609","38,577","37,167","1,410"
Two or More Races,"648,481","89,435","76,912","12,523"
,"1,103,516","180,333","31,006","149,327"
White alone,"717,960","133,774","6,940","126,834"
Black or African American alone,"96,614","12,113",77,"12,036"
American Indian alone,"3,993",810,468,342
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",627,0,0,0
Asian alone,"49,972","6,721",37,"6,684"
Native Hawaiian and Other Pacific Islander alone,474,102,0,102
Some other race alone,"60,278","4,852","4,377",475
Two or More Races,"173,598","21,961","19,107","2,854"
,"83,240","9,886","3,057","6,829"
White alone,"57,659","7,001",967,"6,034"
Black or African American alone,"5,725",583,0,583
American Indian alone,719,89,89,0
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0,0,0,0
Asian alone,"2,368",119,0,119
Native Hawaiian and Other Pacific Islander alone,0,0,0,0
Some other race alone,"3,670",474,474,0
Two or More Races,"13,099","1,620","1,527",93
