"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Angelina County, Texas!!Estimate","Angelina County, Texas!!Margin of Error","Bastrop County, Texas!!Estimate","Bastrop County, Texas!!Margin of Error","Bell County, Texas!!Estimate","Bell County, Texas!!Margin of Error","Bexar County, Texas!!Estimate","Bexar County, Texas!!Margin of Error","Bowie County, Texas!!Estimate","Bowie County, Texas!!Margin of Error","Brazoria County, Texas!!Estimate","Brazoria County, Texas!!Margin of Error","Brazos County, Texas!!Estimate","Brazos County, Texas!!Margin of Error","Cameron County, Texas!!Estimate","Cameron County, Texas!!Margin of Error","Collin County, Texas!!Estimate","Collin County, Texas!!Margin of Error","Comal County, Texas!!Estimate","Comal County, Texas!!Margin of Error","Coryell County, Texas!!Estimate","Coryell County, Texas!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Denton County, Texas!!Estimate","Denton County, Texas!!Margin of Error","Ector County, Texas!!Estimate","Ector County, Texas!!Margin of Error","Ellis County, Texas!!Estimate","Ellis County, Texas!!Margin of Error","El Paso County, Texas!!Estimate","El Paso County, Texas!!Margin of Error","Fort Bend County, Texas!!Estimate","Fort Bend County, Texas!!Margin of Error","Galveston County, Texas!!Estimate","Galveston County, Texas!!Margin of Error","Grayson County, Texas!!Estimate","Grayson County, Texas!!Margin of Error","Gregg County, Texas!!Estimate","Gregg County, Texas!!Margin of Error","Guadalupe County, Texas!!Estimate","Guadalupe County, Texas!!Margin of Error","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harrison County, Texas!!Estimate","Harrison County, Texas!!Margin of Error","Hays County, Texas!!Estimate","Hays County, Texas!!Margin of Error","Henderson County, Texas!!Estimate","Henderson County, Texas!!Margin of Error","Hidalgo County, Texas!!Estimate","Hidalgo County, Texas!!Margin of Error","Hood County, Texas!!Estimate","Hood County, Texas!!Margin of Error","Hunt County, Texas!!Estimate","Hunt County, Texas!!Margin of Error","Jefferson County, Texas!!Estimate","Jefferson County, Texas!!Margin of Error","Johnson County, Texas!!Estimate","Johnson County, Texas!!Margin of Error","Kaufman County, Texas!!Estimate","Kaufman County, Texas!!Margin of Error","Liberty County, Texas!!Estimate","Liberty County, Texas!!Margin of Error","Lubbock County, Texas!!Estimate","Lubbock County, Texas!!Margin of Error","McLennan County, Texas!!Estimate","McLennan County, Texas!!Margin of Error","Midland County, Texas!!Estimate","Midland County, Texas!!Margin of Error","Montgomery County, Texas!!Estimate","Montgomery County, Texas!!Margin of Error","Nacogdoches County, Texas!!Estimate","Nacogdoches County, Texas!!Margin of Error","Nueces County, Texas!!Estimate","Nueces County, Texas!!Margin of Error","Orange County, Texas!!Estimate","Orange County, Texas!!Margin of Error","Parker County, Texas!!Estimate","Parker County, Texas!!Margin of Error","Potter County, Texas!!Estimate","Potter County, Texas!!Margin of Error","Randall County, Texas!!Estimate","Randall County, Texas!!Margin of Error","Rockwall County, Texas!!Estimate","Rockwall County, Texas!!Margin of Error","San Patricio County, Texas!!Estimate","San Patricio County, Texas!!Margin of Error","Smith County, Texas!!Estimate","Smith County, Texas!!Margin of Error","Starr County, Texas!!Estimate","Starr County, Texas!!Margin of Error","Tarrant County, Texas!!Estimate","Tarrant County, Texas!!Margin of Error","Taylor County, Texas!!Estimate","Taylor County, Texas!!Margin of Error","Tom Green County, Texas!!Estimate","Tom Green County, Texas!!Margin of Error","Travis County, Texas!!Estimate","Travis County, Texas!!Margin of Error","Victoria County, Texas!!Estimate","Victoria County, Texas!!Margin of Error","Walker County, Texas!!Estimate","Walker County, Texas!!Margin of Error","Webb County, Texas!!Estimate","Webb County, Texas!!Margin of Error","Wichita County, Texas!!Estimate","Wichita County, Texas!!Margin of Error","Williamson County, Texas!!Estimate","Williamson County, Texas!!Margin of Error","Wise County, Texas!!Estimate","Wise County, Texas!!Margin of Error"
"            12 to 14 years","111,475","±8,135","921","±589","337","±412","1,918","±1,074","7,401","±2,245","179","±239","834","±572","356","±320","3,569","±975","1,067","±599","252","±442","71","±124","10,887","±2,621","1,271","±716","319","±457","249","±245","4,794","±1,425","2,051","±1,063","962","±623","615","±467","629","±367","99","±173","21,097","±3,728","606","±420","412","±610","762","±411","8,644","±1,948","0","±236","83","±137","732","±624","181","±211","303","±434","433","±493","929","±572","997","±889","1,393","±1,172","2,450","±1,526","321","±524","678","±374","79","±142","686","±534","146","±239","199","±279","73","±124","291","±371","1,086","±638","661","±417","6,928","±1,611","225","±264","863","±628","2,079","±1,338","338","±402","209","±336","1,855","±890","585","±423","1,699","±1,100","12","±20"
"            15 years","42,050","±4,200","101","±169","0","±236","428","±402","3,473","±1,215","41","±100","870","±982","450","±513","1,580","±653","873","±555","484","±466","0","±236","3,285","±1,270","672","±504","0","±236","179","±205","2,512","±1,104","371","±362","296","±333","284","±295","66","±87","87","±151","9,288","±1,979","0","±236","0","±236","157","±200","3,066","±942","0","±236","0","±236","196","±216","131","±186","0","±236","0","±236","943","±782","624","±369","257","±424","491","±399","218","±335","600","±324","0","±236","219","±305","0","±236","193","±279","0","±236","39","±71","377","±307","56","±72","2,595","±1,109","32","±56","306","±435","498","±515","0","±236","0","±236","725","±488","89","±119","254","±343","0","±236"
"            16 and 17 years","68,551","±5,253","66","±111","172","±284","661","±466","5,541","±1,826","49","±97","211","±259","488","±410","2,348","±936","1,294","±832","50","±96","845","±975","5,869","±1,918","737","±583","204","±342","302","±425","2,288","±907","687","±450","248","±272","323","±329","129","±135","173","±316","12,310","±2,555","184","±269","140","±239","420","±346","6,403","±1,207","41","±79","139","±185","572","±379","222","±294","0","±236","148","±273","474","±514","643","±483","279","±459","1,216","±739","86","±134","567","±519","0","±236","336","±378","222","±273","193","±279","43","±81","95","±119","304","±273","511","±273","4,646","±1,437","13","±24","165","±264","1,589","±1,266","269","±316","33","±59","1,703","±680","638","±431","887","±658","148","±158"
"            18 to 24 years","296,425","±11,649","421","±304","369","±405","2,488","±1,071","21,549","±3,510","162","±196","2,016","±843","15,317","±1,934","5,610","±1,213","6,257","±2,017","403","±365","36","±54","24,094","±3,358","8,624","±2,132","531","±726","1,076","±561","8,909","±1,863","3,497","±1,446","3,331","±1,109","866","±608","763","±526","856","±503","45,713","±4,834","591","±580","8,775","±1,965","914","±499","16,513","±2,288","335","±265","477","±417","3,200","±1,071","662","±555","684","±621","332","±328","8,504","±1,572","6,284","±1,534","946","±762","5,788","±1,946","2,268","±991","3,412","±919","779","±497","1,237","±904","1,231","±674","1,105","±691","163","±215","157","±189","2,742","±1,039","542","±443","16,808","±2,750","2,700","±1,181","1,000","±635","13,182","±2,810","994","±716","4,076","±1,780","3,317","±1,054","1,485","±864","4,877","±2,019","204","±203"
"            25 to 34 years","317,075","±11,871","1,088","±534","934","±602","4,373","±1,483","21,923","±3,010","769","±467","2,589","±962","2,512","±1,012","6,267","±1,313","5,756","±2,193","928","±536","994","±584","26,837","±3,339","5,556","±1,440","632","±452","1,365","±789","12,840","±2,318","6,571","±2,119","2,660","±758","531","±356","1,217","±599","1,221","±759","70,830","±6,405","1,748","±604","1,601","±821","341","±233","16,043","±1,839","387","±336","989","±637","3,688","±1,298","1,424","±810","1,597","±922","573","±434","4,779","±1,556","2,661","±968","2,362","±1,051","5,100","±2,000","1,174","±609","5,317","±1,313","1,009","±466","639","±388","1,651","±763","658","±504","301","±344","1,953","±757","2,287","±1,285","1,932","±685","17,689","±2,469","581","±420","1,088","±525","10,657","±2,372","726","±520","624","±714","3,991","±1,185","2,512","±691","3,065","±1,076","535","±382"
"            35 to 44 years","280,006","±10,345","1,331","±679","550","±444","2,492","±1,005","20,210","±2,737","855","±473","1,954","±807","2,437","±1,078","5,720","±1,089","5,432","±1,403","598","±418","353","±296","22,522","±2,824","4,696","±1,439","827","±531","1,447","±909","9,933","±1,724","7,736","±2,088","3,205","±1,130","1,109","±550","2,128","±925","1,371","±668","56,022","±4,843","756","±467","994","±770","1,031","±565","15,175","±1,852","56","±82","1,079","±616","2,924","±952","1,370","±893","2,100","±1,001","793","±481","3,469","±1,136","2,787","±992","1,995","±1,162","4,826","±1,421","533","±411","2,940","±1,001","619","±524","906","±521","1,045","±602","773","±535","1,409","±1,218","775","±453","1,251","±641","893","±438","18,593","±2,803","2,114","±915","1,219","±784","8,652","±2,209","1,718","±969","965","±1,161","4,693","±988","1,284","±554","2,819","±1,068","431","±360"
"            45 to 54 years","185,206","±8,165","1,090","±575","742","±422","2,695","±693","12,268","±2,138","759","±395","2,073","±1,001","1,304","±809","4,408","±1,607","4,948","±1,291","1,119","±595","844","±691","16,196","±2,516","3,091","±1,232","724","±641","602","±394","6,642","±1,700","3,520","±1,200","1,846","±759","489","±470","996","±861","250","±225","33,307","±3,354","238","±212","602","±516","894","±451","10,852","±1,492","530","±305","394","±306","2,641","±791","1,247","±561","704","±482","1,089","±500","1,516","±533","1,782","±790","1,141","±970","3,591","±1,057","403","±345","2,847","±925","250","±197","327","±243","1,001","±438","234","±240","115","±142","175","±182","2,086","±1,279","688","±486","11,677","±1,951","704","±501","578","±403","6,005","±1,660","430","±460","468","±463","1,905","±697","499","±453","2,933","±1,126","480","±326"
"            55 to 64 years","202,650","±7,464","277","±253","1,074","±607","2,436","±688","15,789","±2,400","954","±438","2,041","±697","929","±440","3,495","±881","3,478","±1,038","1,097","±577","256","±204","15,993","±2,726","2,894","±1,287","1,311","±1,013","603","±405","9,050","±1,844","4,624","±1,635","1,950","±738","1,227","±668","1,289","±602","913","±545","34,661","±4,176","912","±376","771","±597","1,182","±477","9,584","±1,649","301","±404","1,166","±803","3,057","±970","1,067","±589","416","±315","1,417","±680","1,386","±598","1,692","±790","1,135","±716","3,762","±1,063","310","±220","2,732","±830","600","±377","1,010","±473","910","±735","765","±431","483","±412","755","±433","1,631","±688","1,034","±484","11,931","±1,617","948","±567","1,312","±591","6,853","±1,361","570","±324","380","±262","2,444","±853","562","±313","2,330","±964","760","±581"
"            65 to 74 years","162,365","±8,234","158","±138","383","±288","1,769","±437","13,073","±2,299","958","±504","1,543","±684","1,120","±553","3,135","±1,074","3,669","±1,213","1,065","±562","86","±114","12,451","±2,453","2,583","±818","703","±374","970","±550","7,144","±1,255","3,958","±1,346","2,334","±958","1,044","±489","397","±234","721","±456","26,472","±2,898","348","±248","1,524","±655","694","±415","8,083","±1,450","263","±231","528","±308","2,253","±695","970","±519","991","±455","158","±142","1,887","±630","2,356","±873","324","±428","2,680","±947","376","±334","2,299","±737","646","±416","403","±367","346","±221","1,056","±531","236","±210","589","±393","780","±521","652","±334","8,517","±1,676","860","±473","487","±384","2,955","±908","652","±360","564","±537","2,223","±696","867","±471","2,178","±778","276","±253"
"            75 years and over","142,665","±6,595","408","±303","113","±156","1,414","±593","10,148","±1,563","566","±377","1,534","±805","1,076","±457","4,006","±850","4,210","±1,145","661","±366","266","±316","11,323","±1,540","1,335","±632","749","±391","585","±313","8,027","±1,153","2,267","±917","1,353","±482","577","±470","608","±394","848","±559","20,294","±2,596","558","±285","809","±441","356","±178","7,136","±1,525","479","±349","722","±388","2,171","±687","495","±450","259","±199","232","±210","2,640","±924","1,526","±674","447","±460","2,380","±870","145","±146","2,724","±884","498","±371","886","±489","321","±202","463","±307","280","±195","620","±426","1,698","±646","508","±275","8,291","±1,591","610","±382","816","±486","2,398","±889","305","±192","552","±433","2,036","±664","573","±303","2,189","±807","351","±252"
"    Income in the past 12 months at or above poverty level:","25,802,708","±75,748","69,962","±3,195","94,873","±3,427","340,665","±7,021","1,748,708","±21,552","75,377","±2,617","351,133","±7,353","171,887","±5,632","323,250","±8,607","1,108,374","±9,337","178,544","±3,750","61,827","±3,068","2,221,391","±23,056","935,561","±6,953","147,937","±3,800","206,709","±3,414","696,707","±13,846","830,310","±12,617","316,118","±6,209","129,191","±3,504","102,725","±3,443","171,947","±3,686","4,014,069","±30,860","56,345","±2,600","242,899","±5,136","69,571","±3,127","648,090","±14,270","62,782","±1,371","95,721","±3,517","189,182","±6,327","178,966","±5,123","165,113","±6,296","90,395","±4,515","254,053","±6,800","215,942","±6,688","155,363","±6,437","632,066","±11,740","49,042","±2,605","287,132","±7,876","72,965","±3,210","156,486","±3,540","90,586","±4,499","133,643","±3,499","124,995","±2,320","57,179","±3,594","207,300","±5,762","46,543","±4,198","1,917,582","±17,047","123,456","±4,027","98,067","±3,395","1,177,474","±12,589","78,456","±3,728","48,392","±3,366","205,926","±7,978","97,848","±3,459","644,056","±7,305","69,409","±2,936"
"        Male:","12,992,738","±40,613","33,050","±1,896","46,664","±2,538","172,381","±3,966","874,081","±12,560","35,754","±1,690","173,222","±4,083","88,290","±3,500","163,611","±4,757","554,988","±4,625","89,935","±1,923","29,207","±2,187","1,112,092","±12,429","467,803","±4,124","77,529","±2,156","103,000","±1,924","354,437","±7,717","410,624","±6,537","155,892","±3,533","63,294","±2,009","50,314","±2,067","85,272","±2,973","2,026,646","±16,152","27,846","±1,606","123,569","±3,383","33,617","±1,790","330,357","±8,086","31,012","±875","47,270","±1,878","95,530","±3,626","89,227","±2,770","82,395","±3,195","45,402","±2,648","129,062","±3,076","110,599","±3,960","81,360","±2,990","317,006","±5,051","25,449","±1,553","143,860","±4,247","35,324","±1,883","78,084","±2,239","43,301","±2,745","66,831","±1,739","62,204","±1,271","31,570","±2,036","102,270","±2,977","23,146","±2,269","952,300","±9,271","61,557","±2,493","48,838","±2,053","604,845","±6,641","38,808","±1,850","27,193","±2,114","106,871","±4,338","49,001","±1,749","326,463","±3,752","34,907","±1,486"
"            Under 5 years","783,118","±9,952","2,683","±857","3,334","±1,098","13,893","±957","52,286","±3,332","2,465","±429","11,307","±1,074","5,894","±817","9,111","±1,344","30,486","±1,353","4,587","±776","2,421","±431","68,096","±3,433","27,568","±912","6,098","±649","6,349","±755","21,594","±1,777","24,704","±1,155","8,028","±1,046","4,411","±731","2,635","±686","4,465","±793","123,648","±4,317","1,219","±533","7,293","±758","1,809","±646","22,455","±1,937","1,821","±439","2,210","±647","6,145","±873","5,665","±634","6,987","±603","3,740","±606","7,488","±997","7,394","±679","6,695","±500","20,573","±1,013","1,595","±444","6,954","±1,106","1,978","±236","4,641","±642","3,106","±1,200","3,771","±338","3,574","±299","1,174","±795","6,765","±644","1,890","±769","57,989","±2,835","3,828","±319","2,521","±563","32,719","±2,006","2,928","±575","598","±574","7,236","±1,485","2,957","±464","19,634","±1,483","1,949","±455"
"            5 years","152,342","±7,996","218","±341","184","±299","1,973","±841","8,381","±2,004","440","±341","2,210","±840","1,170","±792","1,452","±663","5,924","±1,309","683","±476","383","±448","13,052","±2,281","5,815","±1,455","1,182","±1,003","880","±475","3,419","±1,056","4,543","±1,510","2,064","±867","651","±495","726","±477","1,472","±920","26,186","±3,777","83","±139","1,665","±1,146","684","±443","4,166","±1,304","451","±265","842","±473","1,136","±700","571","±320","921","±498","774","±671","2,138","±752","1,270","±798","539","±340","4,940","±1,584","156","±220","1,257","±573","584","±473","1,201","±583","400","±399","739","±521","502","±259","165","±225","470","±337","183","±291","13,141","±2,235","903","±539","378","±450","4,200","±1,310","387","±368","441","±420","1,649","±544","367","±200","5,442","±1,412","627","±438"
"            6 to 11 years","1,043,139","±14,373","2,378","±997","4,076","±1,359","16,523","±2,129","67,162","±5,087","2,901","±670","15,251","±2,192","6,081","±1,329","14,477","±2,136","46,682","±3,042","7,465","±1,172","2,685","±899","82,711","±5,000","38,955","±2,616","9,271","±1,592","10,530","±1,281","28,846","±3,093","39,239","±3,100","10,925","±1,567","4,892","±1,102","3,439","±1,150","5,977","±1,271","152,425","±7,786","3,254","±778","9,099","±1,706","2,049","±484","26,849","±2,812","2,540","±527","4,158","±797","6,049","±1,396","8,397","±1,309","8,053","±1,426","5,560","±1,526","9,272","±1,645","10,501","±1,475","7,788","±1,480","26,373","±2,822","1,215","±513","11,516","±1,398","2,301","±881","8,047","±1,109","2,832","±889","5,739","±835","6,266","±827","2,394","±874","9,139","±1,150","2,493","±906","80,021","±4,224","5,781","±1,253","4,646","±1,020","39,935","±3,312","2,757","±907","3,345","±1,439","9,716","±2,145","3,182","±872","27,555","±2,379","2,849","±625"
"            12 to 14 years","565,515","±15,026","1,220","±467","1,809","±858","6,910","±1,503","39,966","±4,206","2,119","±568","7,915","±1,684","3,597","±947","8,374","±1,716","27,212","±2,847","3,552","±1,119","1,346","±618","49,114","±4,752","18,532","±2,750","3,814","±1,231","4,620","±1,292","17,898","±2,571","20,758","±2,864","6,793","±1,531","2,972","±856","2,524","±875","4,049","±1,433","88,505","±6,240","461","±315","5,764","±1,662","1,326","±542","15,293","±2,392","1,623","±535","1,632","±669","5,810","±1,530","3,156","±992","4,046","±1,272","2,067","±816","6,009","±1,512","2,926","±906","3,040","±1,098","12,039","±2,109","1,943","±615","5,546","±1,304","2,195","±855","2,496","±785","2,272","±900","2,984","±771","2,879","±667","1,523","±592","4,195","±1,088","1,331","±673","39,408","±3,960","2,543","±931","2,030","±904","19,858","±2,815","1,773","±822","400","±454","5,083","±1,416","2,198","±822","12,081","±2,234","1,127","±430"
"            15 years","186,544","±6,789","513","±456","248","±228","3,172","±970","12,462","±2,597","107","±123","2,111","±661","944","±457","2,161","±721","8,393","±1,381","897","±636","560","±390","16,852","±2,268","6,216","±1,270","1,896","±876","1,400","±610","5,177","±1,611","5,538","±1,544","3,172","±936","1,264","±461","730","±533","984","±542","28,453","±3,136","314","±244","1,423","±644","496","±311","5,283","±1,175","43","±76","506","±274","1,577","±730","1,235","±647","1,613","±728","1,010","±867","1,460","±622","1,402","±521","2,264","±1,180","4,330","±1,247","128","±135","2,446","±847","543","±277","1,659","±626","1,435","±781","1,397","±508","1,105","±646","495","±380","896","±559","123","±197","14,661","±2,282","794","±408","781","±490","6,991","±1,922","499","±339","114","±162","1,629","±643","507","±321","5,092","±1,050","435","±326"
"            16 and 17 years","391,173","±9,438","544","±329","1,521","±611","4,145","±1,016","26,133","±2,235","1,363","±396","6,761","±708","2,317","±612","5,458","±958","17,917","±1,452","2,293","±700","752","±345","32,764","±2,362","14,634","±1,303","1,952","±667","4,447","±740","11,403","±1,794","15,389","±1,616","3,714","±961","1,079","±547","1,319","±714","2,928","±873","59,903","±3,761","888","±402","3,434","±926","491","±261","10,125","±1,648","1,116","±178","1,365","±428","3,237","±747","2,946","±757","2,316","±961","994","±694","3,936","±714","3,810","±613","1,922","±820","10,673","±1,371","734","±283","3,857","±948","903","±277","2,183","±576","980","±610","1,524","±667","2,498","±753","1,143","±557","4,022","±639","1,245","±269","29,782","±2,782","1,618","±743","1,317","±493","13,999","±2,400","943","±545","912","±382","4,275","±749","2,079","±365","9,161","±1,068","1,332","±391"
"            18 to 24 years","1,177,061","±11,495","3,549","±1,074","4,153","±830","17,107","±1,092","81,271","±3,555","3,233","±637","14,272","±1,534","11,422","±2,112","18,677","±1,339","46,376","±1,531","6,369","±567","1,172","±741","101,597","±3,433","34,989","±2,301","7,996","±385","8,330","±635","36,434","±2,168","36,487","±1,352","13,082","±1,024","4,873","±487","4,865","±648","7,662","±658","190,431","±4,400","1,901","±929","12,650","±1,942","2,482","±739","39,594","±2,107","2,128","±335","4,523","±896","8,598","±1,291","8,672","±800","7,867","±755","4,398","±403","15,751","±1,590","12,280","±2,693","6,074","±1,344","28,175","±1,093","2,983","±854","13,495","±1,293","2,857","±886","6,503","±659","4,711","±1,121","6,203","±880","6,007","±888","1,959","±1,082","10,174","±866","3,243","±447","86,706","±2,929","7,230","±919","3,989","±860","40,895","±2,722","3,444","±341","4,344","±1,207","12,475","±1,157","4,183","±1,125","24,457","±1,257","2,740","±636"
"            25 to 34 years","1,948,602","±12,769","3,653","±937","5,848","±663","30,110","±1,209","146,985","±2,808","4,247","±754","22,518","±1,203","14,939","±933","23,169","±1,464","74,806","±873","10,643","±657","5,446","±864","194,532","±3,765","70,901","±765","12,151","±608","13,975","±890","57,390","±2,034","44,537","±1,954","19,719","±941","8,688","±803","6,811","±921","10,989","±460","320,467","±4,830","3,213","±1,197","17,190","±1,314","3,665","±507","52,550","±1,752","3,102","±392","5,659","±789","13,270","±1,602","11,466","±1,121","12,058","±865","5,232","±1,126","20,915","±1,190","16,350","±1,529","14,265","±999","41,120","±1,418","3,029","±594","21,330","±1,119","4,392","±536","8,837","±944","6,176","±941","9,424","±961","6,749","±1,070","5,477","±1,347","13,331","±1,293","2,782","±1,035","145,754","±2,470","9,499","±537","7,195","±874","123,822","±2,837","5,363","±574","3,251","±1,041","16,331","±1,204","7,783","±760","49,127","±837","4,374","±436"
"            35 to 44 years","1,951,626","±12,020","5,363","±811","6,322","±751","24,397","±1,327","134,970","±3,221","4,657","±743","27,437","±1,434","12,959","±1,090","21,132","±1,188","89,840","±1,673","12,772","±548","4,035","±1,001","166,540","±2,403","74,732","±1,412","10,453","±1,340","16,185","±1,222","53,992","±1,868","63,674","±1,596","22,686","±1,117","7,411","±947","6,782","±756","13,811","±875","314,741","±4,051","4,480","±980","20,607","±975","3,474","±512","44,020","±1,844","3,538","±533","6,614","±765","13,679","±918","13,489","±1,601","13,936","±1,280","6,168","±1,026","18,370","±852","14,651","±1,007","14,697","±882","46,877","±1,617","3,204","±660","20,331","±1,220","4,508","±501","11,236","±987","5,221","±872","9,532","±1,062","9,778","±1,050","5,036","±1,154","12,366","±1,272","2,382","±584","140,265","±2,331","8,473","±830","7,982","±1,111","113,224","±2,716","5,033","±607","2,717","±1,241","14,658","±999","6,757","±646","58,012","±1,519","5,191","±392"
"            45 to 54 years","1,681,044","±11,537","3,488","±830","5,727","±543","18,939","±730","111,036","±2,165","4,092","±769","24,015","±814","9,720","±732","20,616","±1,029","85,928","±1,125","12,401","±820","4,391","±1,092","139,118","±2,413","69,735","±733","9,529","±1,188","12,546","±993","41,211","±1,688","61,217","±1,466","20,593","±826","8,517","±807","5,634","±951","11,100","±588","267,534","±3,886","3,071","±376","16,465","±733","4,683","±584","42,903","±1,417","3,642","±386","5,694","±776","9,885","±1,216","11,692","±852","9,026","±1,217","5,258","±1,419","13,987","±825","12,810","±903","8,914","±622","41,932","±1,473","3,218","±550","18,393","±944","5,059","±599","9,210","±980","5,168","±702","9,079","±1,136","8,618","±883","4,306","±1,026","11,690","±859","3,117","±264","121,695","±1,884","6,458","±923","5,431","±885","82,741","±1,801","4,473","±312","4,434","±1,367","13,694","±770","5,719","±607","45,563","±1,064","4,253","±343"
"            55 to 64 years","1,452,317","±7,517","4,425","±594","6,098","±509","15,066","±999","89,073","±2,369","4,200","±495","18,398","±1,089","8,353","±552","16,808","±997","63,216","±1,566","12,246","±546","2,357","±494","126,776","±2,214","55,707","±1,027","6,812","±563","11,664","±547","35,401","±1,224","45,451","±1,491","20,890","±609","7,996","±869","6,560","±313","9,964","±494","224,239","±3,448","3,729","±335","12,496","±500","4,498","±582","30,108","±1,340","3,783","±474","6,529","±573","11,426","±791","10,264","±857","7,863","±700","4,846","±660","13,113","±711","11,294","±831","7,495","±517","36,800","±1,526","3,076","±693","16,657","±904","4,193","±367","10,957","±572","4,664","±612","6,968","±516","6,934","±531","3,464","±318","11,818","±645","2,324","±395","112,303","±1,485","5,629","±568","4,478","±603","62,053","±1,672","4,719","±403","2,712","±610","10,133","±528","5,481","±690","32,328","±950","4,344","±555"
"            65 to 74 years","1,054,400","±6,890","2,692","±494","4,099","±624","12,599","±819","65,615","±1,774","3,428","±371","13,612","±1,067","6,816","±574","12,865","±820","36,734","±931","10,399","±572","2,238","±277","79,686","±2,050","31,577","±866","4,411","±354","8,204","±641","26,859","±1,043","32,677","±1,555","15,926","±803","6,210","±353","5,426","±283","6,789","±450","150,835","±2,439","3,285","±347","10,288","±807","4,516","±475","21,671","±1,096","4,320","±332","4,805","±500","9,848","±584","7,653","±590","4,689","±501","3,304","±548","10,639","±680","10,040","±784","4,854","±175","27,303","±786","2,580","±392","13,700","±771","3,889","±460","7,029","±454","4,040","±702","5,394","±635","4,388","±439","2,679","±224","10,632","±555","1,345","±527","71,944","±1,249","5,250","±687","5,168","±567","42,412","±1,473","4,108","±164","2,454","±525","6,279","±712","4,878","±492","22,921","±653","3,554","±311"
"            75 years and over","605,857","±5,368","2,324","±648","3,245","±508","7,547","±234","38,741","±1,177","2,502","±460","7,415","±593","4,078","±664","9,311","±643","21,474","±914","5,628","±336","1,421","±284","41,254","±1,407","18,442","±465","1,964","±399","3,870","±418","14,813","±966","16,410","±1,008","8,300","±675","4,330","±528","2,863","±257","5,082","±410","79,279","±1,919","1,948","±376","5,195","±508","3,444","±300","15,340","±1,011","2,905","±285","2,733","±418","4,870","±697","4,021","±505","3,020","±429","2,051","±714","5,984","±485","5,871","±585","2,813","±304","15,871","±593","1,588","±211","8,378","±612","1,922","±171","4,085","±446","2,296","±492","4,077","±342","2,906","±456","1,755","±228","6,772","±274","688","±268","38,631","±1,258","3,551","±214","2,922","±533","21,996","±974","2,381","±314","1,471","±154","3,713","±579","2,910","±269","15,090","±690","2,132","±280"
"        Female:","12,809,970","±45,213","36,912","±2,029","48,209","±2,334","168,284","±4,429","874,627","±11,621","39,623","±1,612","177,911","±4,209","83,597","±3,294","159,639","±5,104","553,386","±6,012","88,609","±2,819","32,620","±2,018","1,109,299","±13,266","467,758","±4,263","70,408","±2,397","103,709","±2,431","342,270","±7,876","419,686","±7,498","160,226","±3,438","65,897","±2,240","52,411","±2,510","86,675","±1,798","1,987,423","±18,953","28,499","±1,619","119,330","±2,855","35,954","±1,845","317,733","±7,481","31,770","±860","48,451","±2,547","93,652","±3,550","89,739","±3,138","82,718","±3,770","44,993","±2,762","124,991","±4,951","105,343","±4,168","74,003","±4,339","315,060","±8,198","23,593","±2,064","143,272","±4,638","37,641","±2,036","78,402","±2,322","47,285","±3,035","66,812","±2,396","62,791","±1,963","25,609","±2,239","105,030","±4,103","23,397","±2,439","965,282","±9,714","61,899","±2,748","49,229","±2,290","572,629","±8,066","39,648","±2,521","21,199","±2,241","99,055","±4,920","48,847","±2,277","317,593","±4,794","34,502","±1,747"
"            Under 5 years","733,016","±10,890","1,970","±732","2,590","±1,158","13,199","±1,017","51,893","±2,518","1,799","±456","10,508","±1,103","5,128","±776","7,391","±1,430","31,484","±1,133","4,261","±967","2,439","±402","62,691","±3,549","26,555","±893","5,715","±840","7,048","±835","19,451","±1,799","23,251","±1,741","8,997","±758","3,742","±400","3,375","±752","4,569","±717","116,387","±4,723","1,535","±502","6,875","±508","1,703","±577","20,168","±2,662","1,175","±168","2,791","±749","5,868","±1,137","5,489","±843","5,198","±538","3,416","±667","7,715","±1,037","6,112","±914","6,213","±1,001","18,035","±1,750","910","±373","6,899","±1,186","1,706","±823","4,346","±836","2,207","±1,068","3,535","±670","4,442","±401","1,472","±868","5,478","±1,104","1,676","±687","56,546","±2,411","4,372","±534","3,250","±394","28,039","±2,432","2,643","±626","501","±431","6,516","±1,378","2,553","±527","17,857","±1,145","1,960","±163"
"            5 years","154,695","±8,943","0","±236","1,207","±677","1,176","±565","8,711","±2,112","890","±462","2,560","±1,020","1,074","±516","1,521","±567","7,316","±1,614","910","±596","1,122","±694","12,465","±1,990","7,038","±2,126","1,523","±961","1,309","±808","4,389","±1,256","4,855","±1,864","1,671","±755","699","±312","709","±535","1,602","±763","25,800","±3,340","321","±343","1,026","±547","433","±418","4,550","±1,162","691","±495","523","±413","1,229","±747","1,412","±887","817","±407","118","±201","1,192","±506","1,115","±559","1,757","±918","4,417","±1,387","94","±160","1,376","±646","234","±257","1,875","±1,006","283","±222","627","±652","1,296","±636","175","±265","587","±404","656","±516","10,942","±1,934","1,443","±844","884","±530","4,595","±1,303","555","±490","211","±328","1,257","±817","252","±200","3,959","±1,015","460","±377"
