"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Angelina County, Texas!!Estimate","Angelina County, Texas!!Margin of Error","Bastrop County, Texas!!Estimate","Bastrop County, Texas!!Margin of Error","Bell County, Texas!!Estimate","Bell County, Texas!!Margin of Error","Bexar County, Texas!!Estimate","Bexar County, Texas!!Margin of Error","Bowie County, Texas!!Estimate","Bowie County, Texas!!Margin of Error","Brazoria County, Texas!!Estimate","Brazoria County, Texas!!Margin of Error","Brazos County, Texas!!Estimate","Brazos County, Texas!!Margin of Error","Cameron County, Texas!!Estimate","Cameron County, Texas!!Margin of Error","Collin County, Texas!!Estimate","Collin County, Texas!!Margin of Error","Comal County, Texas!!Estimate","Comal County, Texas!!Margin of Error","Coryell County, Texas!!Estimate","Coryell County, Texas!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Denton County, Texas!!Estimate","Denton County, Texas!!Margin of Error","Ector County, Texas!!Estimate","Ector County, Texas!!Margin of Error","Ellis County, Texas!!Estimate","Ellis County, Texas!!Margin of Error","El Paso County, Texas!!Estimate","El Paso County, Texas!!Margin of Error","Fort Bend County, Texas!!Estimate","Fort Bend County, Texas!!Margin of Error","Galveston County, Texas!!Estimate","Galveston County, Texas!!Margin of Error","Grayson County, Texas!!Estimate","Grayson County, Texas!!Margin of Error","Gregg County, Texas!!Estimate","Gregg County, Texas!!Margin of Error","Guadalupe County, Texas!!Estimate","Guadalupe County, Texas!!Margin of Error","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harrison County, Texas!!Estimate","Harrison County, Texas!!Margin of Error","Hays County, Texas!!Estimate","Hays County, Texas!!Margin of Error","Henderson County, Texas!!Estimate","Henderson County, Texas!!Margin of Error","Hidalgo County, Texas!!Estimate","Hidalgo County, Texas!!Margin of Error","Hood County, Texas!!Estimate","Hood County, Texas!!Margin of Error","Hunt County, Texas!!Estimate","Hunt County, Texas!!Margin of Error","Jefferson County, Texas!!Estimate","Jefferson County, Texas!!Margin of Error","Johnson County, Texas!!Estimate","Johnson County, Texas!!Margin of Error","Kaufman County, Texas!!Estimate","Kaufman County, Texas!!Margin of Error","Liberty County, Texas!!Estimate","Liberty County, Texas!!Margin of Error","Lubbock County, Texas!!Estimate","Lubbock County, Texas!!Margin of Error","McLennan County, Texas!!Estimate","McLennan County, Texas!!Margin of Error","Midland County, Texas!!Estimate","Midland County, Texas!!Margin of Error","Montgomery County, Texas!!Estimate","Montgomery County, Texas!!Margin of Error","Nacogdoches County, Texas!!Estimate","Nacogdoches County, Texas!!Margin of Error","Nueces County, Texas!!Estimate","Nueces County, Texas!!Margin of Error","Orange County, Texas!!Estimate","Orange County, Texas!!Margin of Error","Parker County, Texas!!Estimate","Parker County, Texas!!Margin of Error","Potter County, Texas!!Estimate","Potter County, Texas!!Margin of Error","Randall County, Texas!!Estimate","Randall County, Texas!!Margin of Error","Rockwall County, Texas!!Estimate","Rockwall County, Texas!!Margin of Error","San Patricio County, Texas!!Estimate","San Patricio County, Texas!!Margin of Error","Smith County, Texas!!Estimate","Smith County, Texas!!Margin of Error","Starr County, Texas!!Estimate","Starr County, Texas!!Margin of Error","Tarrant County, Texas!!Estimate","Tarrant County, Texas!!Margin of Error","Taylor County, Texas!!Estimate","Taylor County, Texas!!Margin of Error","Tom Green County, Texas!!Estimate","Tom Green County, Texas!!Margin of Error","Travis County, Texas!!Estimate","Travis County, Texas!!Margin of Error","Victoria County, Texas!!Estimate","Victoria County, Texas!!Margin of Error","Walker County, Texas!!Estimate","Walker County, Texas!!Margin of Error","Webb County, Texas!!Estimate","Webb County, Texas!!Margin of Error","Wichita County, Texas!!Estimate","Wichita County, Texas!!Margin of Error","Williamson County, Texas!!Estimate","Williamson County, Texas!!Margin of Error","Wise County, Texas!!Estimate","Wise County, Texas!!Margin of Error"
"            25 to 34 years","196,289","±10,931","629","±515","303","±237","1,474","±959","14,737","±2,538","378","±405","1,079","±699","2,178","±707","5,237","±1,390","2,788","±837","648","±505","306","±284","18,952","±3,396","2,167","±734","417","±356","349","±240","8,132","±1,960","4,969","±1,913","2,341","±853","619","±521","1,055","±471","485","±439","40,388","±4,767","301","±305","2,773","±1,289","417","±271","9,055","±1,711","30","±57","830","±484","2,849","±1,383","519","±362","778","±519","869","±618","2,058","±822","1,532","±1,034","956","±603","3,535","±1,209","537","±336","2,837","±1,044","311","±357","853","±558","668","±426","352","±286","173","±246","447","±411","2,383","±1,028","1,601","±1,036","12,572","±2,350","461","±391","1,209","±794","11,799","±2,836","584","±463","125","±172","2,807","±976","935","±562","1,969","±827","74","±130"
"            35 to 44 years","195,257","±9,720","590","±493","808","±610","1,984","±1,071","17,496","±3,139","537","±454","1,125","±1,120","1,183","±727","4,357","±964","4,927","±1,659","437","±233","42","±86","13,357","±2,285","3,970","±1,391","1,951","±1,223","550","±550","5,390","±1,479","4,290","±1,556","1,833","±1,010","869","±594","925","±546","1,279","±715","37,312","±4,025","646","±693","595","±692","1,069","±688","9,336","±1,555","141","±152","812","±511","1,715","±694","1,479","±1,142","1,027","±676","571","±417","1,103","±591","1,504","±839","987","±614","4,735","±1,473","365","±384","3,079","±1,148","403","±377","1,690","±1,297","1,116","±716","330","±322","417","±327","772","±507","2,081","±782","1,284","±584","11,267","±2,274","864","±614","434","±364","7,641","±2,609","1,177","±690","327","±517","1,937","±797","794","±486","2,987","±1,543","74","±115"
"            45 to 54 years","150,179","±8,286","879","±508","527","±396","925","±532","10,083","±2,079","215","±217","603","±462","922","±410","3,073","±803","3,511","±1,110","610","±632","382","±426","12,623","±2,273","1,937","±754","428","±374","1,023","±708","5,714","±1,710","2,963","±1,420","1,722","±768","498","±428","934","±590","316","±279","30,504","±3,977","514","±303","513","±477","486","±276","7,561","±1,287","68","±110","642","±396","2,986","±1,100","1,049","±511","749","±550","793","±584","1,395","±667","758","±446","308","±330","3,262","±1,046","142","±177","2,239","±775","458","±384","1,006","±771","1,126","±999","244","±271","92","±152","39","±56","1,362","±781","278","±207","8,909","±1,864","639","±424","959","±602","6,620","±1,570","311","±271","327","±353","1,653","±673","713","±440","2,380","±988","43","±60"
"            55 to 64 years","161,456","±6,951","413","±338","767","±476","2,730","±920","14,690","±2,311","713","±460","1,533","±738","807","±508","2,831","±874","4,095","±1,580","489","±301","134","±157","13,411","±2,084","2,067","±958","476","±519","570","±484","6,471","±1,247","3,330","±1,449","1,401","±608","996","±734","316","±235","742","±472","26,047","±3,430","453","±324","489","±270","1,415","±551","7,026","±1,236","551","±398","362","±225","1,832","±670","1,491","±784","848","±704","321","±368","1,370","±504","1,911","±783","401","±290","4,083","±1,526","454","±290","2,515","±777","547","±361","710","±495","645","±481","887","±543","551","±370","323","±309","1,598","±640","464","±313","7,418","±1,400","1,047","±456","1,295","±528","5,880","±1,678","473","±324","313","±321","999","±492","1,251","±568","1,774","±921","966","±435"
"            65 to 74 years","122,045","±5,521","662","±370","655","±408","1,148","±503","7,959","±1,663","566","±382","1,691","±641","173","±176","2,749","±731","2,370","±900","788","±312","284","±329","10,952","±1,952","2,493","±780","392","±251","619","±523","4,135","±1,030","3,533","±1,503","1,666","±783","203","±229","448","±272","747","±532","19,750","±2,433","179","±136","540","±348","885","±490","5,151","±1,046","346","±262","319","±208","1,049","±467","570","±372","638","±466","185","±231","1,359","±601","1,414","±742","778","±587","1,813","±590","416","±370","1,881","±706","471","±368","774","±436","613","±386","1,006","±584","211","±189","341","±224","1,072","±492","774","±348","5,555","±1,122","833","±436","592","±535","3,513","±1,425","77","±86","292","±284","1,799","±823","466","±333","1,200","±571","123","±173"
"            75 years and over","76,132","±4,575","350","±287","123","±223","258","±194","5,784","±1,236","247","±174","502","±333","296","±245","1,914","±631","2,293","±884","421","±231","150","±147","6,702","±1,390","615","±315","616","±407","283","±253","3,505","±954","1,814","±994","875","±543","459","±286","276","±212","219","±192","10,933","±1,786","335","±238","34","±45","190","±157","4,432","±1,039","295","±285","354","±254","1,195","±603","470","±462","142","±169","368","±386","977","±434","686","±359","59","±92","637","±325","29","±39","992","±440","199","±213","708","±480","299","±237","129","±106","58","±76","218","±201","293","±231","512","±267","4,088","±1,197","222","±133","739","±503","1,719","±813","333","±243","155","±179","902","±449","199","±130","1,082","±572","132","±132"
"        Female:","2,267,191","±44,456","7,317","±1,803","5,473","±1,793","26,343","±4,223","162,365","±11,780","6,052","±1,369","18,677","±4,146","29,629","±3,601","55,031","±5,300","42,353","±5,954","8,166","±2,890","4,327","±1,797","192,417","±13,114","34,117","±4,283","7,687","±2,479","8,143","±2,283","90,662","±7,876","44,684","±7,519","21,671","±3,775","8,548","±2,212","10,630","±2,280","7,114","±1,602","427,180","±18,614","7,144","±1,514","16,240","±3,266","7,835","±1,674","133,455","±7,566","2,582","±839","7,275","±2,211","26,045","±3,459","9,931","±3,071","10,622","±3,680","6,890","±2,258","31,688","±4,788","27,116","±3,879","12,723","±4,190","41,682","±7,887","6,953","±1,830","31,867","±4,508","6,141","±1,711","8,203","±2,372","8,364","±2,140","6,905","±2,080","3,253","±1,516","8,285","±2,266","17,805","±3,876","10,333","±2,363","130,927","±10,019","9,539","±2,125","8,662","±2,203","65,405","±7,769","6,424","±2,004","9,491","±2,692","35,451","±4,776","11,824","±2,327","27,416","±4,636","3,963","±1,770"
"            Under 5 years","189,054","±10,049","719","±442","588","±667","1,381","±1,000","12,455","±2,515","296","±322","947","±986","1,349","±687","6,831","±1,626","1,694","±1,117","462","±568","178","±198","22,169","±3,522","1,314","±867","524","±585","338","±362","6,971","±1,852","3,200","±1,811","1,458","±905","550","±378","1,578","±735","369","±445","39,910","±4,641","656","±502","456","±475","566","±336","12,464","±2,565","29","±53","936","±576","1,791","±1,106","901","±700","765","±646","460","±414","1,896","±852","1,990","±891","598","±740","3,951","±1,758","235","±241","3,169","±1,207","675","±536","1,088","±673","886","±740","939","±579","0","±236","1,723","±1,237","1,180","±819","1,029","±688","9,245","±2,064","205","±272","251","±312","6,344","±2,054","287","±343","1,530","±1,470","4,076","±1,345","1,111","±512","995","±633","95","±141"
"            5 years","31,381","±3,712","173","±239","0","±236","149","±187","1,687","±1,015","0","±236","245","±249","127","±162","819","±520","723","±546","0","±236","0","±236","3,145","±1,392","333","±283","132","±223","0","±236","994","±584","942","±720","116","±186","243","±203","146","±172","0","±236","4,766","±1,605","122","±161","0","±236","111","±109","3,292","±1,134","0","±236","0","±236","252","±274","164","±193","0","±236","95","±120","792","±621","292","±406","0","±236","1,233","±868","0","±236","860","±465","490","±501","0","±236","0","±236","0","±236","0","±236","206","±341","228","±248","369","±430","1,524","±778","97","±170","0","±236","310","±310","0","±236","0","±236","860","±499","401","±288","93","±158","65","±119"
"            6 to 11 years","238,288","±10,868","564","±428","211","±350","4,139","±1,502","16,848","±3,415","464","±349","1,820","±1,041","2,164","±1,200","7,243","±1,472","2,952","±1,288","1,047","±961","398","±405","17,646","±2,923","1,011","±668","1,031","±810","427","±598","10,558","±2,409","5,260","±2,125","1,912","±942","690","±430","684","±526","206","±293","52,510","±5,803","425","±381","156","±308","407","±313","16,200","±2,075","161","±200","762","±520","2,568","±1,127","1,097","±819","2,803","±1,545","1,160","±873","2,473","±962","3,482","±1,027","1,846","±1,247","4,214","±1,554","884","±687","3,722","±1,218","496","±401","466","±423","605","±526","327","±441","150","±263","907","±600","2,155","±1,458","1,458","±690","12,483","±2,739","450","±424","577","±387","3,883","±1,716","135","±202","90","±130","5,623","±1,516","1,218","±751","3,097","±1,423","606","±643"
