Recoded detailed race code,Total,Total Recode for Recoded detailed Hispanic origin (HISP_RC4),Hispanic,Non Hispanic
Total,"19,794,033","4,661,748","2,196,554","2,465,194"
,"5,696,084","1,271,568","655,290","616,278"
White alone,"2,141,045","500,176","154,044","346,132"
Black or African American alone,"782,218","161,633","4,926","156,707"
American Indian alone,"39,955","8,884","8,433",451
Alaska Native alone,225,59,59,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","13,281","1,896","1,665",231
Asian alone,"201,538","41,757","1,243","40,514"
Native Hawaiian and Other Pacific Islander alone,"6,772","1,884",273,"1,611"
Some other race alone,"710,093","156,812","148,632","8,180"
Two or More Races,"1,800,957","398,467","336,015","62,452"
,"5,445,503","1,312,897","662,674","650,223"
White alone,"2,248,599","532,410","152,244","380,166"
Black or African American alone,"765,262","176,531","4,791","171,740"
American Indian alone,"45,841","9,493","8,264","1,229"
Alaska Native alone,435,121,0,121
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","15,617","2,065","2,047",18
Asian alone,"244,497","53,178","1,822","51,356"
Native Hawaiian and Other Pacific Islander alone,"13,351","2,987",434,"2,553"
Some other race alone,"683,393","178,720","174,204","4,516"
Two or More Races,"1,428,508","357,392","318,868","38,524"
,"4,348,508","1,034,687","516,191","518,496"
White alone,"1,720,884","396,446","99,630","296,816"
Black or African American alone,"598,506","139,645","1,738","137,907"
American Indian alone,"38,085","7,988","7,191",797
Alaska Native alone,578,60,0,60
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","10,269","2,037","1,795",242
Asian alone,"233,482","54,259",842,"53,417"
Native Hawaiian and Other Pacific Islander alone,"8,964","2,225",689,"1,536"
Some other race alone,"559,831","142,230","137,544","4,686"
Two or More Races,"1,177,909","289,797","266,762","23,035"
,"3,117,182","746,121","293,545","452,576"
White alone,"1,583,150","364,500","52,765","311,735"
Black or African American alone,"385,426","83,601",723,"82,878"
American Indian alone,"19,874","4,023","2,922","1,101"
Alaska Native alone,233,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","5,636","1,473","1,165",308
Asian alone,"147,672","38,693",50,"38,643"
Native Hawaiian and Other Pacific Islander alone,"3,101","1,149",0,"1,149"
Some other race alone,"323,609","84,344","81,790","2,554"
Two or More Races,"648,481","168,338","154,130","14,208"
,"1,103,516","274,088","63,164","210,924"
White alone,"717,960","184,801","13,202","171,599"
Black or African American alone,"96,614","21,332",93,"21,239"
American Indian alone,"3,993","1,141",766,375
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",627,253,177,76
Asian alone,"49,972","11,590",81,"11,509"
Native Hawaiian and Other Pacific Islander alone,474,279,88,191
Some other race alone,"60,278","14,648","14,128",520
Two or More Races,"173,598","40,044","34,629","5,415"
,"83,240","22,387","5,690","16,697"
White alone,"57,659","16,370","1,582","14,788"
Black or African American alone,"5,725",985,0,985
American Indian alone,719,90,0,90
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0,0,0,0
Asian alone,"2,368",691,0,691
Native Hawaiian and Other Pacific Islander alone,0,0,0,0
Some other race alone,"3,670","1,068","1,068",0
Two or More Races,"13,099","3,183","3,040",143
