"SPEAKENG","POVERTY","ci_l","ci_u","SPEAKENG_LABEL"
1,193.955676888502,190.144408390703,197.766945386302,"Does not speak English"
3,348.80398677456,347.730057992817,349.877915556304,"Yes, speaks only English"
4,314.287869571433,312.463588466079,316.112150676786,"Yes, speaks very well"
5,279.50249138029,276.66068506443,282.34429769615,"Yes, speaks well"
6,236.882937407684,233.784693157923,239.981181657445,"Yes, but not well"
